long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
17,15,15,2.3295488381053255,69,1.000717278306066,4.949220311855909
39,11,21,2.3292793985962614,54,1.0007980660643823,4.309556747663487
39,21,11,2.3292793985962614,54,1.0007980660643823,4.309556747663487
25,22,15,2.329067111818147,53,1.0008210512789792,4.351571778590094
27,18,17,2.329067111818147,53,1.0008210512789792,4.351571778590094
25,15,22,2.329067111818147,53,1.0008210512789792,4.351571778590094
27,17,18,2.329067111818147,53,1.0008210512789792,4.351571778590094
40,22,9,2.3290442929811355,56,1.0007992447505438,4.475770603045137
40,9,22,2.3290442929811355,56,1.0007992447505438,4.475770603045137
44,11,19,2.327982684004287,54,1.0007877515554513,4.253858399436902
44,19,11,2.327982684004287,54,1.0007877515554513,4.253858399436902
20,14,14,2.327542787653083,72,1.0006898460437343,4.966891514887822
26,20,16,2.3273626154090676,53,1.0008199983005825,4.345990993086862
26,16,20,2.3273626154090676,53,1.0008199983005825,4.345990993086862
27,14,22,2.325977393777389,53,1.0008213199556075,4.35299576471977
27,22,14,2.325977393777389,53,1.0008213199556075,4.35299576471977
30,23,12,2.3259742805261547,54,1.000809783370686,4.372830201704107
30,12,23,2.3259742805261547,54,1.000809783370686,4.372830201704107
35,12,21,2.3258725996723104,54,1.0007992851760643,4.316139950746691
35,21,12,2.3258725996723104,54,1.0007992851760643,4.316139950746691
19,12,17,2.3257129762832505,72,1.0006888951981978,4.960045427024447
19,17,12,2.3257129762832505,72,1.0006888951981978,4.960045427024447
17,12,19,2.3257129762832505,72,1.0006888951981978,4.960045427024447
38,23,9,2.3249462969486316,56,1.0008000699940118,4.480391966466479
38,9,23,2.3249462969486316,56,1.0008000699940118,4.480391966466479
27,19,16,2.3247800608668268,53,1.000818402888514,4.3375353091242115
27,16,19,2.3247800608668268,53,1.000818402888514,4.3375353091242115
41,10,21,2.3247216302518434,54,1.0008131924965127,4.391239481168788
41,21,10,2.3247216302518434,54,1.0008131924965127,4.391239481168788
